"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/16/2017 23:08:15:939 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"2","0.1","10","0","0"
"1","40","10","0","0"
"2","0.1","10","1","0"
"1","40","10","1","105"
"1","40","10","2","143"
"1","40","10","3","178"
"1","40","10","4","203"
"1","40","10","5","225"
"1","40","10","6","240"
"1","40","10","7","249"
"1","40","10","8","254"
"1","40","10","9","258"
"1","40","10","10","262"
"1","40","10","11","267"
"1","40","10","12","272"
"1","40","10","13","278"
"1","40","10","14","285"
"1","40","10","15","290"
"1","40","10","16","293"
"1","40","10","17","296"
"1","40","10","18","300"
"1","40","10","19","301"
"1","40","10","20","303"
"1","40","10","21","303"
