"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/16/2017 23:08:15:939 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"2","0.1","10","0","0"
"1","40","10","0","0"
"2","0.1","10","1","0"
"1","40","10","1","105"
"1","40","10","2","143"
"1","40","10","3","178"
"1","40","10","4","203"
"1","40","10","5","225"
"1","40","10","6","240"
"1","40","10","7","249"
"1","40","10","8","254"
"1","40","10","9","258"
"1","40","10","10","262"
"1","40","10","11","267"
"1","40","10","12","272"
"1","40","10","13","278"
"1","40","10","14","285"
"1","40","10","15","290"
"1","40","10","16","293"
"1","40","10","17","296"
"1","40","10","18","300"
"1","40","10","19","301"
"1","40","10","20","303"
"1","40","10","21","303"
"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/16/2017 23:08:15:993 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"1","70","10","0","0"
"3","5","10","0","0"
"2","10","10","0","0"
"3","5","10","1","17"
"3","5","10","2","18"
"3","5","10","3","18"
"2","10","10","1","20"
"2","10","10","2","22"
"2","10","10","3","23"
"2","10","10","4","23"
"1","70","10","1","173"
"1","70","10","2","293"
"1","70","10","3","413"
"1","70","10","4","532"
"1","70","10","5","656"
"1","70","10","6","795"
"1","70","10","7","915"
"1","70","10","8","1035"
"1","70","10","9","1157"
"1","70","10","10","1279"
"1","70","10","11","1412"
"1","70","10","12","1545"
"1","70","10","13","1669"
"1","70","10","14","1790"
"1","70","10","15","1900"
"1","70","10","16","2011"
"1","70","10","17","2125"
"1","70","10","18","2248"
"1","70","10","19","2366"
"1","70","10","20","2491"
"1","70","10","21","2627"
"1","70","10","22","2769"
"1","70","10","23","2908"
"1","70","10","24","3039"
"1","70","10","25","3171"
"1","70","10","26","3300"
"1","70","10","27","3424"
"1","70","10","28","3565"
"1","70","10","29","3697"
"1","70","10","30","3826"
"1","70","10","31","3965"
"1","70","10","32","4106"
"1","70","10","33","4249"
"1","70","10","34","4385"
"1","70","10","35","4521"
"1","70","10","36","4660"
"1","70","10","37","4794"
"1","70","10","38","4936"
"1","70","10","39","5077"
"1","70","10","40","5225"
"1","70","10","41","5384"
"1","70","10","42","5545"
"1","70","10","43","5694"
"1","70","10","44","5828"
"1","70","10","45","5968"
"1","70","10","46","6111"
"1","70","10","47","6240"
"1","70","10","48","6366"
"1","70","10","49","6481"
"1","70","10","50","6613"
"1","70","10","51","6743"
"1","70","10","52","6871"
"1","70","10","53","6999"
"1","70","10","54","7122"
"1","70","10","55","7247"
"1","70","10","56","7371"
"1","70","10","57","7505"
"1","70","10","58","7642"
"1","70","10","59","7780"
"1","70","10","60","7915"
"1","70","10","61","8043"
"1","70","10","62","8160"
"1","70","10","63","8281"
"1","70","10","64","8404"
"1","70","10","65","8528"
"1","70","10","66","8651"
"1","70","10","67","8774"
"1","70","10","68","8898"
"1","70","10","69","9019"
"1","70","10","70","9135"
"1","70","10","71","9258"
"1","70","10","72","9386"
"1","70","10","73","9506"
"1","70","10","74","9616"
"1","70","10","75","9720"
"1","70","10","76","9829"
"1","70","10","77","9946"
"1","70","10","78","10069"
"1","70","10","79","10195"
"1","70","10","80","10326"
"1","70","10","81","10442"
"1","70","10","82","10568"
"1","70","10","83","10687"
"1","70","10","84","10804"
"1","70","10","85","10907"
"1","70","10","86","11021"
"1","70","10","87","11130"
"1","70","10","88","11250"
"1","70","10","89","11375"
"1","70","10","90","11494"
"1","70","10","91","11611"
"1","70","10","92","11738"
"1","70","10","93","11871"
"1","70","10","94","12008"
"1","70","10","95","12151"
"1","70","10","96","12293"
"1","70","10","97","12416"
"1","70","10","98","12551"
"1","70","10","99","12694"
"1","70","10","100","12834"
"1","70","10","101","12971"
"1","70","10","102","13113"
"1","70","10","103","13250"
"1","70","10","104","13370"
"1","70","10","105","13494"
"1","70","10","106","13621"
"1","70","10","107","13746"
"1","70","10","108","13864"
"1","70","10","109","13990"
"1","70","10","110","14108"
"1","70","10","111","14222"
"1","70","10","112","14340"
"1","70","10","113","14470"
"1","70","10","114","14603"
"1","70","10","115","14743"
"1","70","10","116","14891"
"1","70","10","117","15041"
"1","70","10","118","15187"
"1","70","10","119","15326"
"1","70","10","120","15473"
"1","70","10","121","15623"
"1","70","10","122","15781"
"1","70","10","123","15935"
"1","70","10","124","16091"
"1","70","10","125","16255"
"1","70","10","126","16425"
"1","70","10","127","16572"
"1","70","10","128","16716"
"1","70","10","129","16851"
"1","70","10","130","16987"
"1","70","10","131","17110"
"1","70","10","132","17240"
"1","70","10","133","17355"
"1","70","10","134","17470"
"1","70","10","135","17577"
"1","70","10","136","17685"
"1","70","10","137","17802"
"1","70","10","138","17939"
"1","70","10","139","18071"
"1","70","10","140","18218"
"1","70","10","141","18367"
"1","70","10","142","18513"
"1","70","10","143","18654"
"1","70","10","144","18780"
"1","70","10","145","18909"
"1","70","10","146","19035"
"1","70","10","147","19165"
"1","70","10","148","19295"
"1","70","10","149","19424"
"1","70","10","150","19555"
"1","70","10","151","19667"
"1","70","10","152","19786"
"1","70","10","153","19902"
"1","70","10","154","20025"
"1","70","10","155","20143"
"1","70","10","156","20272"
"1","70","10","157","20410"
"1","70","10","158","20545"
"1","70","10","159","20682"
"1","70","10","160","20820"
"1","70","10","161","20951"
"1","70","10","162","21086"
"1","70","10","163","21236"
"1","70","10","164","21391"
"1","70","10","165","21553"
"1","70","10","166","21715"
"1","70","10","167","21866"
"1","70","10","168","22003"
"1","70","10","169","22139"
"1","70","10","170","22248"
"1","70","10","171","22362"
"1","70","10","172","22471"
"1","70","10","173","22578"
"1","70","10","174","22691"
"1","70","10","175","22811"
"1","70","10","176","22939"
"1","70","10","177","23061"
"1","70","10","178","23199"
"1","70","10","179","23338"
"1","70","10","180","23466"
"1","70","10","181","23598"
"1","70","10","182","23731"
"1","70","10","183","23861"
"1","70","10","184","23980"
"1","70","10","185","24100"
"1","70","10","186","24216"
"1","70","10","187","24352"
"1","70","10","188","24478"
"1","70","10","189","24605"
"1","70","10","190","24744"
"1","70","10","191","24886"
"1","70","10","192","25021"
"1","70","10","193","25153"
"1","70","10","194","25299"
"1","70","10","195","25461"
"1","70","10","196","25602"
"1","70","10","197","25740"
"1","70","10","198","25866"
"1","70","10","199","25988"
"1","70","10","200","26102"
"1","70","10","201","26215"
"1","70","10","202","26328"
"1","70","10","203","26450"
"1","70","10","204","26568"
"1","70","10","205","26688"
"1","70","10","206","26816"
"1","70","10","207","26950"
"1","70","10","208","27088"
"1","70","10","209","27224"
"1","70","10","210","27376"
"1","70","10","211","27538"
"1","70","10","212","27685"
"1","70","10","213","27823"
"1","70","10","214","27948"
"1","70","10","215","28071"
"1","70","10","216","28186"
"1","70","10","217","28309"
"1","70","10","218","28431"
"1","70","10","219","28555"
"1","70","10","220","28690"
"1","70","10","221","28825"
"1","70","10","222","28962"
"1","70","10","223","29102"
"1","70","10","224","29244"
"1","70","10","225","29381"
"1","70","10","226","29527"
"1","70","10","227","29677"
"1","70","10","228","29816"
"1","70","10","229","29956"
"1","70","10","230","30090"
"1","70","10","231","30219"
"1","70","10","232","30360"
"1","70","10","233","30493"
"1","70","10","234","30626"
"1","70","10","235","30767"
"1","70","10","236","30916"
"1","70","10","237","31061"
"1","70","10","238","31201"
"1","70","10","239","31344"
"1","70","10","240","31485"
"1","70","10","241","31621"
"1","70","10","242","31766"
"1","70","10","243","31896"
"1","70","10","244","32030"
"1","70","10","245","32160"
"1","70","10","246","32306"
"1","70","10","247","32447"
"1","70","10","248","32583"
"1","70","10","249","32726"
"1","70","10","250","32868"
"1","70","10","251","33020"
"1","70","10","252","33176"
"1","70","10","253","33325"
"1","70","10","254","33458"
"1","70","10","255","33588"
"1","70","10","256","33713"
"1","70","10","257","33844"
"1","70","10","258","33975"
"1","70","10","259","34089"
"1","70","10","260","34205"
"1","70","10","261","34313"
"1","70","10","262","34427"
"1","70","10","263","34548"
"1","70","10","264","34666"
"1","70","10","265","34787"
"1","70","10","266","34909"
"1","70","10","267","35029"
"1","70","10","268","35156"
"1","70","10","269","35286"
"1","70","10","270","35420"
"1","70","10","271","35558"
"1","70","10","272","35692"
"1","70","10","273","35825"
"1","70","10","274","35957"
"1","70","10","275","36094"
"1","70","10","276","36228"
"1","70","10","277","36364"
"1","70","10","278","36514"
"1","70","10","279","36654"
"1","70","10","280","36793"
"1","70","10","281","36942"
"1","70","10","282","37097"
"1","70","10","283","37230"
"1","70","10","284","37358"
"1","70","10","285","37488"
"1","70","10","286","37616"
"1","70","10","287","37743"
"1","70","10","288","37870"
"1","70","10","289","38001"
"1","70","10","290","38129"
"1","70","10","291","38257"
"1","70","10","292","38393"
"1","70","10","293","38526"
"1","70","10","294","38660"
"1","70","10","295","38792"
"1","70","10","296","38927"
"1","70","10","297","39075"
"1","70","10","298","39231"
"1","70","10","299","39380"
"1","70","10","300","39516"
"1","70","10","301","39642"
"1","70","10","302","39778"
"1","70","10","303","39906"
"1","70","10","304","40028"
"1","70","10","305","40150"
"1","70","10","306","40285"
"1","70","10","307","40426"
"1","70","10","308","40563"
"1","70","10","309","40698"
"1","70","10","310","40830"
"1","70","10","311","40981"
"1","70","10","312","41121"
"1","70","10","313","41264"
"1","70","10","314","41416"
"1","70","10","315","41569"
"1","70","10","316","41727"
"1","70","10","317","41874"
"1","70","10","318","42019"
"1","70","10","319","42148"
"1","70","10","320","42260"
"1","70","10","321","42372"
"1","70","10","322","42469"
"1","70","10","323","42579"
"1","70","10","324","42660"
"1","70","10","325","42736"
"1","70","10","326","42807"
"1","70","10","327","42866"
"1","70","10","328","42909"
"1","70","10","329","42940"
"1","70","10","330","42968"
"1","70","10","331","42998"
"1","70","10","332","43017"
"1","70","10","333","43037"
"1","70","10","334","43048"
"1","70","10","335","43056"
"1","70","10","336","43062"
"1","70","10","337","43069"
"1","70","10","338","43079"
"1","70","10","339","43086"
"1","70","10","340","43087"
"1","70","10","341","43089"
"1","70","10","342","43089"
"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/16/2017 23:08:15:944 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"1","5","15","0","0"
"1","5","15","1","16"
"1","5","15","2","17"
"1","5","15","3","17"
