BehaviorSpace results (NetLogo 6.0)
/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo
experiment
11/19/2017 18:12:25:807 -0500
min-pxcor,max-pxcor,min-pycor,max-pycor
-125,125,-125,125
[run number],density,initial-trees,[step],burned-trees
2,0.1,10,0,0
2,0.1,10,1,0
5,5,10,0,0
5,5,10,1,8
5,5,10,2,8
6,5,15,0,0
6,5,15,1,11
6,5,15,2,11
4,10,10,0,0
4,10,10,1,22
4,10,10,2,24
4,10,10,3,24
1,40,10,0,0
1,40,10,1,99
1,40,10,2,140
1,40,10,3,179
1,40,10,4,210
1,40,10,5,229
1,40,10,6,244
1,40,10,7,252
1,40,10,8,261
1,40,10,9,266
1,40,10,10,267
1,40,10,11,268
1,40,10,12,269
1,40,10,13,270
1,40,10,14,270
3,70,10,0,0
3,70,10,1,185
3,70,10,2,317
3,70,10,3,447
3,70,10,4,581
3,70,10,5,717
3,70,10,6,843
3,70,10,7,960
3,70,10,8,1088
3,70,10,9,1204
3,70,10,10,1321
3,70,10,11,1427
3,70,10,12,1548
3,70,10,13,1671
3,70,10,14,1788
3,70,10,15,1905
3,70,10,16,2026
3,70,10,17,2143
3,70,10,18,2275
3,70,10,19,2404
3,70,10,20,2540
3,70,10,21,2664
3,70,10,22,2787
3,70,10,23,2916
3,70,10,24,3048
3,70,10,25,3175
3,70,10,26,3313
3,70,10,27,3441
3,70,10,28,3576
3,70,10,29,3696
3,70,10,30,3815
3,70,10,31,3927
3,70,10,32,4050
3,70,10,33,4190
3,70,10,34,4334
3,70,10,35,4479
3,70,10,36,4615
3,70,10,37,4752
3,70,10,38,4886
3,70,10,39,5024
3,70,10,40,5166
3,70,10,41,5321
3,70,10,42,5459
3,70,10,43,5604
3,70,10,44,5742
3,70,10,45,5869
3,70,10,46,5980
3,70,10,47,6096
3,70,10,48,6206
3,70,10,49,6324
3,70,10,50,6446
3,70,10,51,6560
3,70,10,52,6665
3,70,10,53,6774
3,70,10,54,6887
3,70,10,55,7012
3,70,10,56,7132
3,70,10,57,7259
3,70,10,58,7388
3,70,10,59,7518
3,70,10,60,7648
3,70,10,61,7782
3,70,10,62,7913
3,70,10,63,8049
3,70,10,64,8191
3,70,10,65,8324
3,70,10,66,8453
3,70,10,67,8591
3,70,10,68,8718
3,70,10,69,8852
3,70,10,70,8985
3,70,10,71,9119
3,70,10,72,9255
3,70,10,73,9386
3,70,10,74,9515
3,70,10,75,9651
3,70,10,76,9771
3,70,10,77,9890
3,70,10,78,10009
3,70,10,79,10128
3,70,10,80,10256
3,70,10,81,10386
3,70,10,82,10515
3,70,10,83,10647
3,70,10,84,10789
3,70,10,85,10931
3,70,10,86,11066
3,70,10,87,11205
3,70,10,88,11357
3,70,10,89,11514
3,70,10,90,11665
3,70,10,91,11819
3,70,10,92,11957
3,70,10,93,12095
3,70,10,94,12233
3,70,10,95,12380
3,70,10,96,12521
3,70,10,97,12664
3,70,10,98,12811
3,70,10,99,12955
3,70,10,100,13109
3,70,10,101,13260
3,70,10,102,13414
3,70,10,103,13558
3,70,10,104,13710
3,70,10,105,13868
3,70,10,106,14003
3,70,10,107,14138
3,70,10,108,14273
3,70,10,109,14417
3,70,10,110,14545
3,70,10,111,14671
3,70,10,112,14785
3,70,10,113,14904
3,70,10,114,15011
3,70,10,115,15136
3,70,10,116,15245
3,70,10,117,15372
3,70,10,118,15495
3,70,10,119,15628
3,70,10,120,15749
3,70,10,121,15860
3,70,10,122,15961
3,70,10,123,16063
3,70,10,124,16176
3,70,10,125,16296
3,70,10,126,16414
3,70,10,127,16536
3,70,10,128,16672
3,70,10,129,16795
3,70,10,130,16931
3,70,10,131,17060
3,70,10,132,17188
3,70,10,133,17311
3,70,10,134,17436
3,70,10,135,17564
3,70,10,136,17697
3,70,10,137,17836
3,70,10,138,17966
3,70,10,139,18097
3,70,10,140,18223
3,70,10,141,18346
3,70,10,142,18467
3,70,10,143,18584
3,70,10,144,18718
3,70,10,145,18858
3,70,10,146,19005
3,70,10,147,19151
3,70,10,148,19301
3,70,10,149,19455
3,70,10,150,19617
3,70,10,151,19773
3,70,10,152,19911
3,70,10,153,20048
3,70,10,154,20184
3,70,10,155,20315
3,70,10,156,20448
3,70,10,157,20571
3,70,10,158,20696
3,70,10,159,20828
3,70,10,160,20962
3,70,10,161,21100
3,70,10,162,21241
3,70,10,163,21384
3,70,10,164,21524
3,70,10,165,21646
3,70,10,166,21774
3,70,10,167,21910
3,70,10,168,22036
3,70,10,169,22176
3,70,10,170,22320
3,70,10,171,22457
3,70,10,172,22596
3,70,10,173,22730
3,70,10,174,22863
3,70,10,175,22996
3,70,10,176,23130
3,70,10,177,23262
3,70,10,178,23400
3,70,10,179,23537
3,70,10,180,23667
3,70,10,181,23797
3,70,10,182,23928
3,70,10,183,24060
3,70,10,184,24191
3,70,10,185,24312
3,70,10,186,24430
3,70,10,187,24567
3,70,10,188,24707
3,70,10,189,24849
3,70,10,190,24991
3,70,10,191,25146
3,70,10,192,25289
3,70,10,193,25446
3,70,10,194,25588
3,70,10,195,25735
3,70,10,196,25871
3,70,10,197,26006
3,70,10,198,26140
3,70,10,199,26290
3,70,10,200,26439
3,70,10,201,26592
3,70,10,202,26745
3,70,10,203,26898
3,70,10,204,27041
3,70,10,205,27178
3,70,10,206,27314
3,70,10,207,27451
3,70,10,208,27573
3,70,10,209,27698
3,70,10,210,27812
3,70,10,211,27940
3,70,10,212,28062
3,70,10,213,28196
3,70,10,214,28327
3,70,10,215,28457
3,70,10,216,28575
3,70,10,217,28692
3,70,10,218,28812
3,70,10,219,28927
3,70,10,220,29044
3,70,10,221,29152
3,70,10,222,29271
3,70,10,223,29387
3,70,10,224,29514
3,70,10,225,29645
3,70,10,226,29775
3,70,10,227,29913
3,70,10,228,30058
3,70,10,229,30192
3,70,10,230,30317
3,70,10,231,30442
3,70,10,232,30565
3,70,10,233,30686
3,70,10,234,30817
3,70,10,235,30956
3,70,10,236,31090
3,70,10,237,31226
3,70,10,238,31381
3,70,10,239,31537
3,70,10,240,31678
3,70,10,241,31819
3,70,10,242,31942
3,70,10,243,32059
3,70,10,244,32181
3,70,10,245,32314
3,70,10,246,32442
3,70,10,247,32577
3,70,10,248,32721
3,70,10,249,32847
3,70,10,250,32967
3,70,10,251,33096
3,70,10,252,33216
3,70,10,253,33340
3,70,10,254,33462
3,70,10,255,33580
3,70,10,256,33696
3,70,10,257,33822
3,70,10,258,33948
3,70,10,259,34074
3,70,10,260,34188
3,70,10,261,34296
3,70,10,262,34414
3,70,10,263,34536
3,70,10,264,34656
3,70,10,265,34775
3,70,10,266,34895
3,70,10,267,35016
3,70,10,268,35136
3,70,10,269,35250
3,70,10,270,35365
3,70,10,271,35488
3,70,10,272,35598
3,70,10,273,35722
3,70,10,274,35847
3,70,10,275,35979
3,70,10,276,36113
3,70,10,277,36255
3,70,10,278,36385
3,70,10,279,36518
3,70,10,280,36654
3,70,10,281,36786
3,70,10,282,36908
3,70,10,283,37035
3,70,10,284,37151
3,70,10,285,37268
3,70,10,286,37388
3,70,10,287,37506
3,70,10,288,37631
3,70,10,289,37756
3,70,10,290,37879
3,70,10,291,37998
3,70,10,292,38117
3,70,10,293,38234
3,70,10,294,38354
3,70,10,295,38476
3,70,10,296,38609
3,70,10,297,38748
3,70,10,298,38894
3,70,10,299,39043
3,70,10,300,39196
3,70,10,301,39338
3,70,10,302,39477
3,70,10,303,39614
3,70,10,304,39755
3,70,10,305,39902
3,70,10,306,40036
3,70,10,307,40170
3,70,10,308,40300
3,70,10,309,40430
3,70,10,310,40552
3,70,10,311,40693
3,70,10,312,40832
3,70,10,313,40972
3,70,10,314,41110
3,70,10,315,41238
3,70,10,316,41364
3,70,10,317,41483
3,70,10,318,41595
3,70,10,319,41699
3,70,10,320,41804
3,70,10,321,41910
3,70,10,322,42005
3,70,10,323,42103
3,70,10,324,42202
3,70,10,325,42295
3,70,10,326,42385
3,70,10,327,42459
3,70,10,328,42522
3,70,10,329,42572
3,70,10,330,42607
3,70,10,331,42640
3,70,10,332,42675
3,70,10,333,42710
3,70,10,334,42740
3,70,10,335,42757
3,70,10,336,42771
3,70,10,337,42784
3,70,10,338,42796
3,70,10,339,42804
3,70,10,340,42811
3,70,10,341,42817
3,70,10,342,42822
3,70,10,343,42826
3,70,10,344,42830
3,70,10,345,42832
3,70,10,346,42835
3,70,10,347,42837
3,70,10,348,42838
3,70,10,349,42839
3,70,10,350,42841
3,70,10,351,42842
3,70,10,352,42843
3,70,10,353,42845
3,70,10,354,42846
3,70,10,355,42846
