"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/20/2017 15:40:01:784 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"9","5","10","2","11"
"12","10","10","3","23"
"13","10","10","3","28"
"4","0.1","10","1","0"
"14","10","10","5","33"
"6","5","10","2","9"
"8","5","10","3","13"
"7","5","10","2","18"
"10","5","10","2","5"
"2","0.1","10","1","0"
"3","0.1","10","1","0"
"5","0.1","10","1","0"
"1","0.1","10","2","1"
"15","10","10","4","24"
"11","10","10","4","40"
"BehaviorSpace results (NetLogo 6.0)"
"/nics/d/home/eponcemo/netlogo/mpi_netlogo/Fire/Fire.nlogo"
"experiment"
"11/20/2017 15:40:02:040 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"6","5","10","2","10"
"11","10","10","3","30"
"3","0.1","10","1","0"
"4","0.1","10","1","0"
"8","5","10","2","13"
"15","10","10","4","42"
"7","5","10","3","12"
"10","5","10","2","9"
"14","10","10","2","24"
"2","0.1","10","1","0"
"9","5","10","2","14"
"5","0.1","10","1","0"
"1","0.1","10","1","0"
"12","10","10","5","31"
"13","10","10","3","34"
