"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/mpi_netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:21:34:971 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"1","40","10","0","0"
"2","0.1","10","0","0"
"1","40","10","1","105"
"2","0.1","10","1","0"
"1","40","10","2","157"
"1","40","10","3","196"
"1","40","10","4","229"
"1","40","10","5","252"
"1","40","10","6","277"
"1","40","10","7","296"
"1","40","10","8","310"
"1","40","10","9","317"
"1","40","10","10","324"
"1","40","10","11","329"
"1","40","10","12","331"
"1","40","10","13","333"
"1","40","10","14","333"
