"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:05:29:942 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"3","5","10","0","0"
"1","70","10","0","0"
"2","10","10","0","0"
"3","5","10","1","13"
"3","5","10","2","13"
"2","10","10","1","32"
"1","70","10","1","181"
"2","10","10","2","33"
"2","10","10","3","33"
"1","70","10","2","309"
"1","70","10","3","421"
"1","70","10","4","534"
"1","70","10","5","642"
"1","70","10","6","749"
"1","70","10","7","860"
"1","70","10","8","968"
"1","70","10","9","1078"
"1","70","10","10","1193"
"1","70","10","11","1304"
"1","70","10","12","1405"
"1","70","10","13","1502"
"1","70","10","14","1606"
"1","70","10","15","1719"
"1","70","10","16","1834"
"1","70","10","17","1956"
"1","70","10","18","2076"
"1","70","10","19","2196"
"1","70","10","20","2319"
"1","70","10","21","2454"
"1","70","10","22","2597"
"1","70","10","23","2737"
"1","70","10","24","2884"
"1","70","10","25","3026"
"1","70","10","26","3167"
"1","70","10","27","3290"
"1","70","10","28","3431"
"1","70","10","29","3569"
"1","70","10","30","3720"
"1","70","10","31","3870"
"1","70","10","32","4020"
"1","70","10","33","4166"
"1","70","10","34","4299"
"1","70","10","35","4446"
"1","70","10","36","4594"
"1","70","10","37","4721"
"1","70","10","38","4849"
"1","70","10","39","4977"
"1","70","10","40","5108"
"1","70","10","41","5233"
"1","70","10","42","5352"
"1","70","10","43","5479"
"1","70","10","44","5622"
"1","70","10","45","5765"
"1","70","10","46","5906"
"1","70","10","47","6048"
"1","70","10","48","6202"
"1","70","10","49","6359"
"1","70","10","50","6510"
"1","70","10","51","6652"
"1","70","10","52","6771"
"1","70","10","53","6890"
"1","70","10","54","7000"
"1","70","10","55","7098"
"1","70","10","56","7191"
"1","70","10","57","7291"
"1","70","10","58","7397"
"1","70","10","59","7510"
"1","70","10","60","7619"
"1","70","10","61","7733"
"1","70","10","62","7844"
"1","70","10","63","7966"
"1","70","10","64","8074"
"1","70","10","65","8191"
"1","70","10","66","8309"
"1","70","10","67","8438"
"1","70","10","68","8569"
"1","70","10","69","8703"
"1","70","10","70","8844"
"1","70","10","71","8985"
"1","70","10","72","9135"
"1","70","10","73","9290"
"1","70","10","74","9449"
"1","70","10","75","9605"
"1","70","10","76","9764"
"1","70","10","77","9919"
"1","70","10","78","10062"
"1","70","10","79","10203"
"1","70","10","80","10351"
"1","70","10","81","10494"
"1","70","10","82","10644"
"1","70","10","83","10793"
"1","70","10","84","10933"
"1","70","10","85","11057"
"1","70","10","86","11196"
"1","70","10","87","11328"
"1","70","10","88","11469"
"1","70","10","89","11591"
"1","70","10","90","11712"
"1","70","10","91","11834"
"1","70","10","92","11965"
"1","70","10","93","12102"
"1","70","10","94","12227"
"1","70","10","95","12361"
"1","70","10","96","12507"
"1","70","10","97","12656"
"1","70","10","98","12815"
"1","70","10","99","12962"
"1","70","10","100","13126"
"1","70","10","101","13272"
"1","70","10","102","13421"
"1","70","10","103","13567"
"1","70","10","104","13711"
"1","70","10","105","13854"
"1","70","10","106","14000"
"1","70","10","107","14144"
"1","70","10","108","14284"
"1","70","10","109","14419"
"1","70","10","110","14550"
"1","70","10","111","14683"
"1","70","10","112","14812"
"1","70","10","113","14929"
"1","70","10","114","15045"
"1","70","10","115","15172"
"1","70","10","116","15321"
"1","70","10","117","15463"
"1","70","10","118","15613"
"1","70","10","119","15763"
"1","70","10","120","15914"
"1","70","10","121","16064"
"1","70","10","122","16208"
"1","70","10","123","16354"
"1","70","10","124","16499"
"1","70","10","125","16651"
"1","70","10","126","16792"
"1","70","10","127","16919"
"1","70","10","128","17047"
"1","70","10","129","17176"
"1","70","10","130","17293"
"1","70","10","131","17413"
"1","70","10","132","17536"
"1","70","10","133","17671"
"1","70","10","134","17813"
"1","70","10","135","17961"
"1","70","10","136","18107"
"1","70","10","137","18255"
"1","70","10","138","18409"
"1","70","10","139","18561"
"1","70","10","140","18713"
"1","70","10","141","18855"
"1","70","10","142","18997"
"1","70","10","143","19138"
"1","70","10","144","19278"
"1","70","10","145","19411"
"1","70","10","146","19538"
"1","70","10","147","19658"
"1","70","10","148","19793"
"1","70","10","149","19930"
"1","70","10","150","20071"
"1","70","10","151","20198"
"1","70","10","152","20327"
"1","70","10","153","20468"
"1","70","10","154","20615"
"1","70","10","155","20763"
"1","70","10","156","20914"
"1","70","10","157","21063"
"1","70","10","158","21202"
"1","70","10","159","21332"
"1","70","10","160","21451"
"1","70","10","161","21565"
"1","70","10","162","21681"
"1","70","10","163","21790"
"1","70","10","164","21908"
"1","70","10","165","22013"
"1","70","10","166","22123"
"1","70","10","167","22236"
"1","70","10","168","22367"
"1","70","10","169","22488"
"1","70","10","170","22623"
"1","70","10","171","22763"
"1","70","10","172","22891"
"1","70","10","173","23024"
"1","70","10","174","23166"
"1","70","10","175","23325"
"1","70","10","176","23473"
"1","70","10","177","23612"
"1","70","10","178","23748"
"1","70","10","179","23889"
"1","70","10","180","24017"
"1","70","10","181","24150"
"1","70","10","182","24290"
"1","70","10","183","24429"
"1","70","10","184","24570"
"1","70","10","185","24704"
"1","70","10","186","24832"
"1","70","10","187","24972"
"1","70","10","188","25110"
"1","70","10","189","25252"
"1","70","10","190","25398"
"1","70","10","191","25546"
"1","70","10","192","25690"
"1","70","10","193","25832"
"1","70","10","194","25970"
"1","70","10","195","26113"
"1","70","10","196","26257"
"1","70","10","197","26387"
"1","70","10","198","26515"
"1","70","10","199","26635"
"1","70","10","200","26744"
"1","70","10","201","26859"
"1","70","10","202","26988"
"1","70","10","203","27125"
"1","70","10","204","27258"
"1","70","10","205","27393"
"1","70","10","206","27552"
"1","70","10","207","27715"
"1","70","10","208","27866"
"1","70","10","209","28006"
"1","70","10","210","28135"
"1","70","10","211","28268"
"1","70","10","212","28398"
"1","70","10","213","28529"
"1","70","10","214","28670"
"1","70","10","215","28816"
"1","70","10","216","28971"
"1","70","10","217","29121"
"1","70","10","218","29266"
"1","70","10","219","29402"
"1","70","10","220","29545"
"1","70","10","221","29686"
"1","70","10","222","29824"
"1","70","10","223","29967"
"1","70","10","224","30122"
"1","70","10","225","30268"
"1","70","10","226","30416"
"1","70","10","227","30562"
"1","70","10","228","30701"
"1","70","10","229","30838"
"1","70","10","230","30969"
"1","70","10","231","31104"
"1","70","10","232","31227"
"1","70","10","233","31359"
"1","70","10","234","31487"
"1","70","10","235","31616"
"1","70","10","236","31741"
"1","70","10","237","31871"
"1","70","10","238","32004"
"1","70","10","239","32148"
"1","70","10","240","32276"
"1","70","10","241","32399"
"1","70","10","242","32516"
"1","70","10","243","32639"
"1","70","10","244","32762"
"1","70","10","245","32881"
"1","70","10","246","33005"
"1","70","10","247","33128"
"1","70","10","248","33262"
"1","70","10","249","33405"
"1","70","10","250","33537"
"1","70","10","251","33669"
"1","70","10","252","33788"
"1","70","10","253","33911"
"1","70","10","254","34023"
"1","70","10","255","34131"
"1","70","10","256","34253"
"1","70","10","257","34374"
"1","70","10","258","34506"
"1","70","10","259","34638"
"1","70","10","260","34744"
"1","70","10","261","34857"
"1","70","10","262","34983"
"1","70","10","263","35109"
"1","70","10","264","35224"
"1","70","10","265","35346"
"1","70","10","266","35461"
"1","70","10","267","35576"
"1","70","10","268","35683"
"1","70","10","269","35794"
"1","70","10","270","35905"
"1","70","10","271","36028"
"1","70","10","272","36149"
"1","70","10","273","36276"
"1","70","10","274","36394"
"1","70","10","275","36529"
"1","70","10","276","36662"
"1","70","10","277","36813"
"1","70","10","278","36976"
"1","70","10","279","37140"
"1","70","10","280","37289"
"1","70","10","281","37438"
"1","70","10","282","37585"
"1","70","10","283","37734"
"1","70","10","284","37872"
"1","70","10","285","38012"
"1","70","10","286","38158"
"1","70","10","287","38309"
"1","70","10","288","38461"
"1","70","10","289","38595"
"1","70","10","290","38737"
"1","70","10","291","38877"
"1","70","10","292","39015"
"1","70","10","293","39150"
"1","70","10","294","39282"
"1","70","10","295","39426"
"1","70","10","296","39560"
"1","70","10","297","39698"
"1","70","10","298","39832"
"1","70","10","299","39971"
"1","70","10","300","40113"
"1","70","10","301","40255"
"1","70","10","302","40386"
"1","70","10","303","40518"
"1","70","10","304","40637"
"1","70","10","305","40749"
"1","70","10","306","40865"
"1","70","10","307","40987"
"1","70","10","308","41119"
"1","70","10","309","41267"
"1","70","10","310","41398"
"1","70","10","311","41525"
"1","70","10","312","41653"
"1","70","10","313","41783"
"1","70","10","314","41906"
"1","70","10","315","42040"
"1","70","10","316","42166"
"1","70","10","317","42285"
"1","70","10","318","42390"
"1","70","10","319","42491"
"1","70","10","320","42575"
"1","70","10","321","42649"
"1","70","10","322","42719"
"1","70","10","323","42776"
"1","70","10","324","42824"
"1","70","10","325","42862"
"1","70","10","326","42891"
"1","70","10","327","42910"
"1","70","10","328","42932"
"1","70","10","329","42947"
"1","70","10","330","42962"
"1","70","10","331","42975"
"1","70","10","332","42990"
"1","70","10","333","43002"
"1","70","10","334","43013"
"1","70","10","335","43027"
"1","70","10","336","43039"
"1","70","10","337","43045"
"1","70","10","338","43050"
"1","70","10","339","43054"
"1","70","10","340","43058"
"1","70","10","341","43062"
"1","70","10","342","43064"
"1","70","10","343","43065"
"1","70","10","344","43068"
"1","70","10","345","43072"
"1","70","10","346","43078"
"1","70","10","347","43082"
"1","70","10","348","43083"
"1","70","10","349","43085"
"1","70","10","350","43086"
"1","70","10","351","43087"
"1","70","10","352","43087"
