"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/mpi_netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:21:34:971 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"1","40","10","0","0"
"2","0.1","10","0","0"
"1","40","10","1","105"
"2","0.1","10","1","0"
"1","40","10","2","157"
"1","40","10","3","196"
"1","40","10","4","229"
"1","40","10","5","252"
"1","40","10","6","277"
"1","40","10","7","296"
"1","40","10","8","310"
"1","40","10","9","317"
"1","40","10","10","324"
"1","40","10","11","329"
"1","40","10","12","331"
"1","40","10","13","333"
"1","40","10","14","333"
"BehaviorSpace results (NetLogo 6.0)"
"/home/edponce/Documents/utk/netlogo/mpi_netlogo/fire/Fire.nlogo"
"experiment"
"11/16/2017 16:21:34:979 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","initial-trees","[step]","burned-trees"
"3","5","10","0","0"
"2","10","10","0","0"
"1","70","10","0","0"
"3","5","10","1","19"
"3","5","10","2","21"
"2","10","10","1","25"
"3","5","10","3","21"
"2","10","10","2","25"
"1","70","10","1","183"
"1","70","10","2","305"
"1","70","10","3","420"
"1","70","10","4","529"
"1","70","10","5","658"
"1","70","10","6","785"
"1","70","10","7","904"
"1","70","10","8","1004"
"1","70","10","9","1117"
"1","70","10","10","1225"
"1","70","10","11","1340"
"1","70","10","12","1454"
"1","70","10","13","1577"
"1","70","10","14","1707"
"1","70","10","15","1826"
"1","70","10","16","1945"
"1","70","10","17","2065"
"1","70","10","18","2191"
"1","70","10","19","2315"
"1","70","10","20","2442"
"1","70","10","21","2567"
"1","70","10","22","2688"
"1","70","10","23","2816"
"1","70","10","24","2937"
"1","70","10","25","3060"
"1","70","10","26","3190"
"1","70","10","27","3319"
"1","70","10","28","3447"
"1","70","10","29","3566"
"1","70","10","30","3692"
"1","70","10","31","3817"
"1","70","10","32","3949"
"1","70","10","33","4100"
"1","70","10","34","4244"
"1","70","10","35","4381"
"1","70","10","36","4512"
"1","70","10","37","4649"
"1","70","10","38","4774"
"1","70","10","39","4892"
"1","70","10","40","4987"
"1","70","10","41","5094"
"1","70","10","42","5201"
"1","70","10","43","5317"
"1","70","10","44","5436"
"1","70","10","45","5563"
"1","70","10","46","5684"
"1","70","10","47","5809"
"1","70","10","48","5926"
"1","70","10","49","6046"
"1","70","10","50","6172"
"1","70","10","51","6308"
"1","70","10","52","6452"
"1","70","10","53","6585"
"1","70","10","54","6720"
"1","70","10","55","6847"
"1","70","10","56","6990"
"1","70","10","57","7144"
"1","70","10","58","7298"
"1","70","10","59","7436"
"1","70","10","60","7569"
"1","70","10","61","7706"
"1","70","10","62","7841"
"1","70","10","63","7984"
"1","70","10","64","8110"
"1","70","10","65","8229"
"1","70","10","66","8353"
"1","70","10","67","8492"
"1","70","10","68","8631"
"1","70","10","69","8766"
"1","70","10","70","8906"
