BehaviorSpace results (NetLogo 6.0)
/home/edponce/Documents/utk/netlogo/fire/Fire.nlogo
experiment
11/16/2017 16:05:29:978 -0500
min-pxcor,max-pxcor,min-pycor,max-pycor
-125,125,-125,125
[run number],density,initial-trees,[step],burned-trees
2,0.1,10,0,0
2,0.1,10,1,0
5,5,10,0,0
5,5,10,1,13
5,5,10,2,13
6,5,15,0,0
6,5,15,1,14
6,5,15,2,16
6,5,15,3,16
4,10,10,0,0
4,10,10,1,32
4,10,10,2,33
4,10,10,3,33
1,40,10,0,0
1,40,10,1,109
1,40,10,2,160
1,40,10,3,203
1,40,10,4,232
1,40,10,5,257
1,40,10,6,270
1,40,10,7,282
1,40,10,8,292
1,40,10,9,298
1,40,10,10,302
1,40,10,11,305
1,40,10,12,307
1,40,10,13,308
1,40,10,14,309
1,40,10,15,311
1,40,10,16,312
1,40,10,17,315
1,40,10,18,316
1,40,10,19,318
1,40,10,20,321
1,40,10,21,323
1,40,10,22,326
1,40,10,23,326
3,70,10,0,0
3,70,10,1,181
3,70,10,2,309
3,70,10,3,421
3,70,10,4,534
3,70,10,5,642
3,70,10,6,749
3,70,10,7,860
3,70,10,8,968
3,70,10,9,1078
3,70,10,10,1193
3,70,10,11,1304
3,70,10,12,1405
3,70,10,13,1502
3,70,10,14,1606
3,70,10,15,1719
3,70,10,16,1834
3,70,10,17,1956
3,70,10,18,2076
3,70,10,19,2196
3,70,10,20,2319
3,70,10,21,2454
3,70,10,22,2597
3,70,10,23,2737
3,70,10,24,2884
3,70,10,25,3026
3,70,10,26,3167
3,70,10,27,3290
3,70,10,28,3431
3,70,10,29,3569
3,70,10,30,3720
3,70,10,31,3870
3,70,10,32,4020
3,70,10,33,4166
3,70,10,34,4299
3,70,10,35,4446
3,70,10,36,4594
3,70,10,37,4721
3,70,10,38,4849
3,70,10,39,4977
3,70,10,40,5108
3,70,10,41,5233
3,70,10,42,5352
3,70,10,43,5479
3,70,10,44,5622
3,70,10,45,5765
3,70,10,46,5906
3,70,10,47,6048
3,70,10,48,6202
3,70,10,49,6359
3,70,10,50,6510
3,70,10,51,6652
3,70,10,52,6771
3,70,10,53,6890
3,70,10,54,7000
3,70,10,55,7098
3,70,10,56,7191
3,70,10,57,7291
3,70,10,58,7397
3,70,10,59,7510
3,70,10,60,7619
3,70,10,61,7733
3,70,10,62,7844
3,70,10,63,7966
3,70,10,64,8074
3,70,10,65,8191
3,70,10,66,8309
3,70,10,67,8438
3,70,10,68,8569
3,70,10,69,8703
3,70,10,70,8844
3,70,10,71,8985
3,70,10,72,9135
3,70,10,73,9290
3,70,10,74,9449
3,70,10,75,9605
3,70,10,76,9764
3,70,10,77,9919
3,70,10,78,10062
3,70,10,79,10203
3,70,10,80,10351
3,70,10,81,10494
3,70,10,82,10644
3,70,10,83,10793
3,70,10,84,10933
3,70,10,85,11057
3,70,10,86,11196
3,70,10,87,11328
3,70,10,88,11469
3,70,10,89,11591
3,70,10,90,11712
3,70,10,91,11834
3,70,10,92,11965
3,70,10,93,12102
3,70,10,94,12227
3,70,10,95,12361
3,70,10,96,12507
3,70,10,97,12656
3,70,10,98,12815
3,70,10,99,12962
3,70,10,100,13126
3,70,10,101,13272
3,70,10,102,13421
3,70,10,103,13567
3,70,10,104,13711
3,70,10,105,13854
3,70,10,106,14000
3,70,10,107,14144
3,70,10,108,14284
3,70,10,109,14419
3,70,10,110,14550
3,70,10,111,14683
3,70,10,112,14812
3,70,10,113,14929
3,70,10,114,15045
3,70,10,115,15172
3,70,10,116,15321
3,70,10,117,15463
3,70,10,118,15613
3,70,10,119,15763
3,70,10,120,15914
3,70,10,121,16064
3,70,10,122,16208
3,70,10,123,16354
3,70,10,124,16499
3,70,10,125,16651
3,70,10,126,16792
3,70,10,127,16919
3,70,10,128,17047
3,70,10,129,17176
3,70,10,130,17293
3,70,10,131,17413
3,70,10,132,17536
3,70,10,133,17671
3,70,10,134,17813
3,70,10,135,17961
3,70,10,136,18107
3,70,10,137,18255
3,70,10,138,18409
3,70,10,139,18561
3,70,10,140,18713
3,70,10,141,18855
3,70,10,142,18997
3,70,10,143,19138
3,70,10,144,19278
3,70,10,145,19411
3,70,10,146,19538
3,70,10,147,19658
3,70,10,148,19793
3,70,10,149,19930
3,70,10,150,20071
3,70,10,151,20198
3,70,10,152,20327
3,70,10,153,20468
3,70,10,154,20615
3,70,10,155,20763
3,70,10,156,20914
3,70,10,157,21063
3,70,10,158,21202
3,70,10,159,21332
3,70,10,160,21451
3,70,10,161,21565
3,70,10,162,21681
3,70,10,163,21790
3,70,10,164,21908
3,70,10,165,22013
3,70,10,166,22123
3,70,10,167,22236
3,70,10,168,22367
3,70,10,169,22488
3,70,10,170,22623
3,70,10,171,22763
3,70,10,172,22891
3,70,10,173,23024
3,70,10,174,23166
3,70,10,175,23325
3,70,10,176,23473
3,70,10,177,23612
3,70,10,178,23748
3,70,10,179,23889
3,70,10,180,24017
3,70,10,181,24150
3,70,10,182,24290
3,70,10,183,24429
3,70,10,184,24570
3,70,10,185,24704
3,70,10,186,24832
3,70,10,187,24972
3,70,10,188,25110
3,70,10,189,25252
3,70,10,190,25398
3,70,10,191,25546
3,70,10,192,25690
3,70,10,193,25832
3,70,10,194,25970
3,70,10,195,26113
3,70,10,196,26257
3,70,10,197,26387
3,70,10,198,26515
3,70,10,199,26635
3,70,10,200,26744
3,70,10,201,26859
3,70,10,202,26988
3,70,10,203,27125
3,70,10,204,27258
3,70,10,205,27393
3,70,10,206,27552
3,70,10,207,27715
3,70,10,208,27866
3,70,10,209,28006
3,70,10,210,28135
3,70,10,211,28268
3,70,10,212,28398
3,70,10,213,28529
3,70,10,214,28670
3,70,10,215,28816
3,70,10,216,28971
3,70,10,217,29121
3,70,10,218,29266
3,70,10,219,29402
3,70,10,220,29545
3,70,10,221,29686
3,70,10,222,29824
3,70,10,223,29967
3,70,10,224,30122
3,70,10,225,30268
3,70,10,226,30416
3,70,10,227,30562
3,70,10,228,30701
3,70,10,229,30838
3,70,10,230,30969
3,70,10,231,31104
3,70,10,232,31227
3,70,10,233,31359
3,70,10,234,31487
3,70,10,235,31616
3,70,10,236,31741
3,70,10,237,31871
3,70,10,238,32004
3,70,10,239,32148
3,70,10,240,32276
3,70,10,241,32399
3,70,10,242,32516
3,70,10,243,32639
3,70,10,244,32762
3,70,10,245,32881
3,70,10,246,33005
3,70,10,247,33128
3,70,10,248,33262
3,70,10,249,33405
3,70,10,250,33537
3,70,10,251,33669
3,70,10,252,33788
3,70,10,253,33911
3,70,10,254,34023
3,70,10,255,34131
3,70,10,256,34253
3,70,10,257,34374
3,70,10,258,34506
3,70,10,259,34638
3,70,10,260,34744
3,70,10,261,34857
3,70,10,262,34983
3,70,10,263,35109
3,70,10,264,35224
3,70,10,265,35346
3,70,10,266,35461
3,70,10,267,35576
3,70,10,268,35683
3,70,10,269,35794
3,70,10,270,35905
3,70,10,271,36028
3,70,10,272,36149
3,70,10,273,36276
3,70,10,274,36394
3,70,10,275,36529
3,70,10,276,36662
3,70,10,277,36813
3,70,10,278,36976
3,70,10,279,37140
3,70,10,280,37289
3,70,10,281,37438
3,70,10,282,37585
3,70,10,283,37734
3,70,10,284,37872
3,70,10,285,38012
3,70,10,286,38158
3,70,10,287,38309
3,70,10,288,38461
3,70,10,289,38595
3,70,10,290,38737
3,70,10,291,38877
3,70,10,292,39015
3,70,10,293,39150
3,70,10,294,39282
3,70,10,295,39426
3,70,10,296,39560
3,70,10,297,39698
3,70,10,298,39832
3,70,10,299,39971
3,70,10,300,40113
3,70,10,301,40255
3,70,10,302,40386
3,70,10,303,40518
3,70,10,304,40637
3,70,10,305,40749
3,70,10,306,40865
3,70,10,307,40987
3,70,10,308,41119
3,70,10,309,41267
3,70,10,310,41398
3,70,10,311,41525
3,70,10,312,41653
3,70,10,313,41783
3,70,10,314,41906
3,70,10,315,42040
3,70,10,316,42166
3,70,10,317,42285
3,70,10,318,42390
3,70,10,319,42491
3,70,10,320,42575
3,70,10,321,42649
3,70,10,322,42719
3,70,10,323,42776
3,70,10,324,42824
3,70,10,325,42862
3,70,10,326,42891
3,70,10,327,42910
3,70,10,328,42932
3,70,10,329,42947
3,70,10,330,42962
3,70,10,331,42975
3,70,10,332,42990
3,70,10,333,43002
3,70,10,334,43013
3,70,10,335,43027
3,70,10,336,43039
3,70,10,337,43045
3,70,10,338,43050
3,70,10,339,43054
3,70,10,340,43058
3,70,10,341,43062
3,70,10,342,43064
3,70,10,343,43065
3,70,10,344,43068
3,70,10,345,43072
3,70,10,346,43078
3,70,10,347,43082
3,70,10,348,43083
3,70,10,349,43085
3,70,10,350,43086
3,70,10,351,43087
3,70,10,352,43087
